Equipe;Nom;Poste;Type poste;Date de naissance;Taille (en cm);Poids (en kg);ID_equipe;Equipe;Compo
Clermont;George MERRICK;2ème ligne;2ème ligne;04/10/1992;201;126;6;;FALSE
Clermont;Jaco VAN TONDER;2ème ligne;2ème ligne;03/03/1998;197;118;6;;FALSE
Clermont;Paul JEDRASIAK;2ème ligne;2ème ligne;06/02/1993;200;118;6;;TRUE
Clermont;Sébastien VAHAAMAHINA;2ème ligne;2ème ligne;21/10/1991;203;120;6;;TRUE
Clermont;Sitaleki TIMANI;2ème ligne;2ème ligne;19/09/1986;203;120;6;;FALSE
Clermont;Alexandre FISCHER;3ème ligne;3ème ligne;19/01/1998;188;103;6;;TRUE
Clermont;Alexandre LAPANDRY;3ème ligne;3ème ligne;13/04/1989;194;101;6;;FALSE
Clermont;Arthur ITURRIA;3ème ligne;3ème ligne;13/05/1994;198;112;6;;TRUE
Clermont;Faifili LEVAVE;3ème ligne;3ème ligne;15/01/1986;193;111;6;;FALSE
Clermont;Fritz LEE;3ème ligne;3ème ligne;29/08/1988;188;107;6;;TRUE
Clermont;Judicaël CANCORIET;3ème ligne;3ème ligne;25/04/1996;194;112;6;;FALSE
Clermont;Peceli YATO;3ème ligne;3ème ligne;17/01/1993;196;120;6;;FALSE
Clermont;Charlie CASSANG;Mêlée;Demi;08/02/1995;173;84;6;;FALSE
Clermont;Greig LAIDLAW;Mêlée;Demi;12/10/1985;176;78;6;;FALSE
Clermont;Morgan PARRA;Mêlée;Demi;15/11/1988;180;81;6;;TRUE
Clermont;Rudy PAIGE;Mêlée;Demi;02/08/1989;169;77;6;;FALSE
Clermont;Camille LOPEZ;Ouverture;Demi;03/04/1989;176;87;6;;TRUE
Clermont;Jake MCINTYRE;Ouverture;Demi;28/04/1994;177;88;6;;FALSE
Clermont;Apisai NAQALEVU;Centre;Trois-Quarts;21/08/1989;188;104;6;;FALSE
Clermont;George MOALA;Centre;Trois-Quarts;05/11/1990;187;104;6;;TRUE
Clermont;JJ ENGELBRECHT;Centre;Trois-Quarts;22/02/1989;190;94;6;;FALSE
Clermont;Wesley FOFANA;Centre;Trois-Quarts;20/01/1988;182;93;6;;TRUE
Clermont;Alivereti RAKA;Ailier;Trois-Quarts;09/12/1994;189;97;6;;TRUE
Clermont;Damian PENAUD;Ailier;Trois-Quarts;25/09/1996;192;94;6;;FALSE
Clermont;Peter BETHAM;Ailier;Trois-Quarts;06/01/1989;191;98;6;;FALSE
Clermont;Rémy GROSSO;Ailier;Trois-Quarts;04/12/1988;191;104;6;;FALSE
Clermont;Samuel EZEALA;Ailier;Trois-Quarts;11/12/1999;187;94;6;;FALSE
Clermont;Tim NANAI-WILLIAMS;Ailier;Trois-Quarts;12/06/1989;182;90;6;;FALSE
Clermont;Isaia TOEAVA;Arrière;Arrière;15/01/1986;181;100;6;;FALSE
Clermont;Nick ABENDANON;Arrière;Arrière;27/08/1986;178;83;6;;TRUE
Clermont;Setariki TUICUVU;Arrière;Arrière;07/09/1995;179;94;6;;FALSE
La Rochelle;Arthur JOLY;Pilier;Avant;20/02/1988;189;123;7;;FALSE
La Rochelle;Dany PRISO;Pilier;Avant;02/01/1994;182;110;7;;FALSE
La Rochelle;Mike CORBEL;Pilier;Avant;09/04/1992;179;118;7;;FALSE
La Rochelle;Ramiro HERRERA;Pilier;Avant;14/02/1989;194;123;7;;FALSE
La Rochelle;Reda WARDI;Pilier;Avant;02/08/1995;185;110;7;;FALSE
La Rochelle;Sila PUAFISI;Pilier;Avant;15/04/1988;183;128;7;;FALSE
La Rochelle;Uini ATONIO;Pilier;Avant;26/03/1990;196;152;7;;FALSE
La Rochelle;Vincent PELO;Pilier;Avant;22/04/1988;187;130;7;;FALSE
La Rochelle;Facundo BOSCH;Talonneur;Avant;08/08/1991;180;100;7;;FALSE
La Rochelle;Jean-Charles ORIOLI;Talonneur;Avant;09/08/1989;179;110;7;;FALSE
La Rochelle;Pierre BOURGARIT;Talonneur;Avant;12/09/1997;184;105;7;;FALSE
La Rochelle;Jone QOVU;2ème ligne;2ème ligne;26/07/1985;197;134;7;;FALSE
La Rochelle;Mathieu TANGUY;2ème ligne;2ème ligne;05/06/1996;195;110;7;;FALSE
La Rochelle;Romain SAZY;2ème ligne;2ème ligne;14/10/1986;199;105;7;;FALSE
La Rochelle;Thomas JOLMÈS;2ème ligne;2ème ligne;08/10/1995;204;116;7;;FALSE
La Rochelle;Thomas LAVAULT;2ème ligne;2ème ligne;03/05/1999;199;105;7;;FALSE
La Rochelle;Kévin GOURDON;3ème ligne;3ème ligne;23/01/1990;190;103;7;;FALSE
La Rochelle;Lopeti TIMANI;3ème ligne;3ème ligne;28/09/1990;193;124;7;;FALSE
La Rochelle;Rémi BOURDEAU;3ème ligne;3ème ligne;27/02/1992;195;108;7;;FALSE
La Rochelle;Victor VITO;3ème ligne;3ème ligne;27/03/1987;192;112;7;;FALSE
La Rochelle;Wiaan LIEBENBERG;3ème ligne;3ème ligne;31/08/1992;189;105;7;;FALSE
La Rochelle;Zeno KIEFT;3ème ligne;3ème ligne;02/11/1991;191;102;7;;FALSE
La Rochelle;Alexi BALÈS;Mêlée;Demi;30/05/1990;174;80;7;;FALSE
La Rochelle;Tawera KERR-BARLOW;Mêlée;Demi;15/08/1990;187;91;7;;FALSE
La Rochelle;Brock JAMES;Ouverture;Demi;22/10/1981;179;89;7;;FALSE
La Rochelle;Ihaia WEST;Ouverture;Demi;16/01/1992;175;85;7;;FALSE
La Rochelle;Maxime LAFAGE;Ouverture;Demi;01/09/1994;183;84;7;;FALSE
